#        x          y          z           w
#
0.070526 0.689606 0.678976 0.695223
0.279873 0.263298 0.577989 0.678909
0.928885 0.621203 0.341654 0.808714
0.660600 0.093586 0.880453 0.837482
0.535140 0.224665 0.051015 0.569049
0.933352 0.967218 0.759599 0.807218
0.906033 0.102365 0.859649 0.644877
0.855832 0.725709 0.483670 0.759671
0.544636 0.000995 0.737727 0.530465
0.572204 0.107538 0.583023 0.653650
0.763635 0.285127 0.807500 0.679824
0.768809 0.112728 0.827839 0.560211
0.249851 0.578667 0.710936 0.581954
0.197393 0.118102 0.510256 0.670943
0.132781 0.370648 0.154019 0.579123
0.115067 0.078689 0.364055 0.888037
0.961031 0.248657 0.629814 0.969447
0.413927 0.356379 0.929209 0.609320
0.069824 0.419363 0.024066 0.905500
0.441326 0.826234 0.079673 0.807121
0.757469 0.170274 0.363705 0.583504
0.126393 0.114788 0.358118 0.685422
0.138534 0.680401 0.607256 0.773892
0.306915 0.257569 0.978527 0.639331
0.346338 0.231796 0.309290 0.787012
0.023312 0.411396 0.230248 0.583752
0.542644 0.469188 0.215665 0.888073
0.915945 0.887755 0.508260 0.606344
0.215342 0.837138 0.558656 0.995571
0.318274 0.306174 0.583160 0.741300
0.922759 0.325078 0.316632 0.629065
0.326701 0.596756 0.905544 0.746689
0.365803 0.744853 0.560772 0.800394
0.088511 0.085570 0.625341 0.635327
0.743386 0.094453 0.977970 0.891875
0.245428 0.389876 0.742667 0.514614
0.601894 0.652752 0.131474 0.805631
0.370429 0.917685 0.104483 0.823466
0.254276 0.478599 0.312880 0.943620
0.791421 0.278677 0.947739 0.739617
0.841338 0.105802 0.115615 0.524291
0.742970 0.878981 0.490508 0.806034
0.370058 0.777551 0.221559 0.601155
0.952133 0.058783 0.461139 0.898888
0.951293 0.448187 0.875876 0.506348
0.351618 0.975851 0.417074 0.653703
0.768872 0.289994 0.957031 0.707376
0.880481 0.590141 0.500516 0.823818
0.597939 0.796915 0.832691 0.805308
0.052702 0.134662 0.654489 0.956619
0.311885 0.506662 0.532936 0.774118
0.178639 0.529106 0.435983 0.766932
0.922631 0.591429 0.190679 0.790440
0.798482 0.050306 0.676058 0.692430
0.467943 0.717977 0.122685 0.880317
0.679052 0.051012 0.405241 0.521071
0.249011 0.090546 0.579619 0.616140
0.417641 0.139342 0.126304 0.780468
0.702619 0.134173 0.313890 0.577890
0.126034 0.891161 0.702162 0.773158
0.516329 0.559518 0.056055 0.778988
0.813417 0.405493 0.938831 0.541019
0.639180 0.448423 0.146243 0.811357
0.788050 0.472292 0.943648 0.832500
0.364894 0.410600 0.786556 0.619872
0.630068 0.883197 0.008570 0.607673
0.652907 0.103907 0.014709 0.951466
0.078587 0.473984 0.551593 0.900773
0.875033 0.282970 0.980384 0.518789
0.882264 0.831860 0.951525 0.898696
0.837878 0.910832 0.484540 0.531071
0.881949 0.233913 0.718458 0.843629
0.044674 0.176009 0.225582 0.584912
0.632767 0.752808 0.402120 0.683185
0.000615 0.003130 0.269277 0.658745
0.037352 0.392085 0.605643 0.923623
0.465241 0.444282 0.920181 0.726977
0.095483 0.228503 0.924304 0.515286
0.202531 0.047660 0.829857 0.793275
0.601837 0.672386 0.862268 0.734264
0.481318 0.708116 0.321105 0.584175
0.090617 0.393629 0.994030 0.507177
0.281740 0.631114 0.795420 0.502255
0.486397 0.510292 0.352511 0.802269
0.728566 0.185983 0.344369 0.665349
0.093858 0.899834 0.818790 0.823766
0.669950 0.637601 0.466893 0.593303
0.015887 0.085437 0.926713 0.994728
0.764279 0.040503 0.252617 0.522411
0.442593 0.447977 0.896448 0.811331
0.933870 0.915657 0.969819 0.939903
0.714464 0.694189 0.455576 0.544065
0.547658 0.853614 0.784817 0.813059
0.149586 0.102390 0.544384 0.540043
0.012100 0.930708 0.907525 0.801919
0.713025 0.264351 0.506775 0.967200
0.430955 0.853000 0.488840 0.843192
0.577733 0.321397 0.755274 0.650829
0.177803 0.988576 0.661686 0.837540
0.324238 0.277226 0.212695 0.655555
0.828801 0.931813 0.438287 0.590672
0.569326 0.461838 0.859288 0.625468
0.364506 0.822452 0.988541 0.539516
0.414405 0.015909 0.830864 0.854687
0.250249 0.136936 0.142632 0.644690
0.349846 0.212181 0.174164 0.629951
0.175958 0.565351 0.483909 0.943934
0.660769 0.372260 0.822558 0.975920
0.585074 0.083884 0.933033 0.704261
0.552088 0.742768 0.473594 0.814265
0.898573 0.849318 0.889464 0.570544
0.851653 0.246123 0.700828 0.831115
0.757694 0.391657 0.106430 0.782039
0.027587 0.693645 0.380843 0.614803
0.238089 0.856736 0.037318 0.532447
0.736177 0.517075 0.425335 0.667229
0.193947 0.233098 0.908702 0.700337
0.308626 0.232991 0.746066 0.537298
0.734547 0.454672 0.751873 0.533238
0.044679 0.929254 0.524850 0.993165
0.832241 0.539291 0.257993 0.939892
0.715933 0.723928 0.197331 0.858750
0.231586 0.875828 0.694855 0.952429
0.396616 0.341686 0.689417 0.803449
0.950546 0.674405 0.894735 0.549027
0.030985 0.566660 0.199591 0.941134
0.470407 0.825743 0.613658 0.880074
0.446470 0.797734 0.183015 0.535425
0.101291 0.034314 0.224902 0.851661
0.841236 0.618060 0.340389 0.546683
0.515540 0.781549 0.674342 0.885212
0.037058 0.315607 0.482130 0.887852
0.143631 0.322803 0.209637 0.544293
0.698614 0.403451 0.644529 0.537145
0.248126 0.349806 0.842640 0.988113
0.714249 0.063992 0.792399 0.894776
0.109052 0.798753 0.103042 0.589874
0.537760 0.245258 0.934633 0.544875
0.574277 0.578345 0.728197 0.983253
0.766729 0.207202 0.111633 0.661148
0.992039 0.155198 0.327037 0.912930
0.448158 0.276108 0.068774 0.664454
0.792262 0.114265 0.028317 0.968664
0.496331 0.429659 0.084593 0.656102
0.956042 0.095432 0.928990 0.773224
0.890085 0.282183 0.992448 0.619104
0.668822 0.029055 0.537121 0.945882
0.271790 0.973470 0.094214 0.617442
0.805704 0.871969 0.041414 0.923179
0.435060 0.467741 0.161756 0.630328
0.538372 0.758514 0.710373 0.549971
0.798727 0.217313 0.929991 0.792073
0.599106 0.785733 0.417713 0.700485
0.477936 0.049463 0.016416 0.820067
0.131650 0.392258 0.784849 0.969100
0.632405 0.161069 0.091272 0.916863
0.550022 0.862237 0.254869 0.731331
0.818779 0.388405 0.139571 0.779462
0.772891 0.680757 0.121041 0.582484
0.384510 0.010307 0.854664 0.750085
0.101774 0.505541 0.475518 0.709335
0.754812 0.313847 0.392960 0.999622
0.141498 0.132215 0.578042 0.854376
0.335783 0.667290 0.174793 0.860373
0.118995 0.238620 0.380329 0.787760
0.276403 0.151512 0.365943 0.872685
0.848304 0.516871 0.777918 0.822618
0.305300 0.735438 0.049132 0.945441
0.494031 0.975902 0.830104 0.535523
0.295941 0.073645 0.239941 0.861024
0.537988 0.883189 0.053903 0.992797
0.861623 0.662108 0.742149 0.554458
0.841351 0.205552 0.541022 0.615565
0.861364 0.869460 0.247307 0.686442
0.621414 0.354250 0.786208 0.680495
0.857372 0.443775 0.167495 0.758948
0.572565 0.391938 0.158420 0.946466
0.060261 0.119859 0.147696 0.955860
0.714584 0.356358 0.257729 0.900483
0.653620 0.520160 0.139052 0.904356
0.113470 0.657026 0.208938 0.725026
0.982377 0.829084 0.378596 0.795807
0.194821 0.727647 0.434316 0.556211
0.843693 0.054388 0.250766 0.738482
0.946516 0.776439 0.319681 0.811120
0.467613 0.590707 0.563402 0.702657
0.013640 0.811005 0.563922 0.767557
0.973167 0.093945 0.133159 0.848926
0.781695 0.407716 0.805932 0.551193
0.574985 0.256559 0.808730 0.991826
0.088126 0.469677 0.463922 0.738840
0.591660 0.366633 0.119772 0.568002
0.382835 0.661172 0.205655 0.629480
0.614426 0.752544 0.783063 0.516472
0.227847 0.147380 0.807203 0.980543
0.904450 0.198196 0.690544 0.903117
0.555048 0.881860 0.469906 0.785168
0.130598 0.484302 0.711263 0.939285
0.850620 0.370404 0.764766 0.672794
0.110448 0.329196 0.320645 0.539541
0.798140 0.237763 0.673001 0.720283
0.000004 0.040965 0.883840 0.980333
0.171065 0.774848 0.505789 0.581246
0.536148 0.197379 0.922955 0.740344
0.039222 0.379768 0.035106 0.631274
0.645251 0.258210 0.946351 0.844144
0.681157 0.873930 0.675268 0.891400
0.859285 0.184333 0.059999 0.765229
0.400530 0.467755 0.252628 0.597496
0.669080 0.752594 0.852756 0.995765
0.350700 0.126551 0.434400 0.955625
0.721931 0.597175 0.766924 0.721406
0.518366 0.402646 0.228377 0.846377
0.858118 0.214871 0.817251 0.743786
0.779522 0.391811 0.329753 0.567346
0.370201 0.036281 0.431191 0.886230
0.335649 0.702016 0.773624 0.872117
0.289831 0.356713 0.772373 0.719596
0.852334 0.821726 0.383260 0.832328
0.584686 0.058979 0.117778 0.840625
0.076147 0.067736 0.056947 0.833839
0.833991 0.946639 0.908217 0.811065
0.855839 0.846284 0.304799 0.981781
0.187963 0.229695 0.842954 0.897093
0.209308 0.004591 0.267407 0.590079
0.203544 0.199628 0.722216 0.603777
0.346254 0.284951 0.557436 0.883157
0.428317 0.415170 0.711684 0.995142
0.929566 0.650150 0.183285 0.767646
0.643954 0.423048 0.842594 0.785827
0.007671 0.901897 0.067132 0.981687
0.007939 0.270258 0.693643 0.723652
0.942123 0.871127 0.815731 0.962206
0.117030 0.875273 0.936763 0.606737
0.790543 0.780285 0.236934 0.743279
0.272794 0.268560 0.632895 0.689953
0.879091 0.935860 0.366663 0.995984
0.785221 0.394008 0.217871 0.828685
0.652679 0.986641 0.425517 0.562212
0.749329 0.228392 0.468240 0.599984
0.003035 0.817504 0.288231 0.828111
0.487327 0.101943 0.194708 0.985069
0.140200 0.395016 0.466060 0.747601
0.015098 0.540264 0.475231 0.745575
0.135027 0.080665 0.765216 0.611906
0.033355 0.604320 0.978176 0.567505
0.774128 0.433118 0.751412 0.894702
0.997020 0.760827 0.724817 0.627239
0.585802 0.339698 0.473781 0.904356
0.774694 0.909324 0.141394 0.727660
0.193110 0.339291 0.809648 0.550737
0.827990 0.269128 0.355426 0.520155
0.474944 0.537245 0.434178 0.796402
0.207957 0.756365 0.384298 0.680990
0.822118 0.998744 0.106444 0.893958
0.338375 0.124752 0.794820 0.753404
0.590243 0.566995 0.583651 0.565975
0.747307 0.251590 0.230781 0.777755
0.908323 0.508995 0.329762 0.640702
0.118226 0.456380 0.486698 0.542389
0.884212 0.881895 0.487574 0.798495
0.838001 0.067266 0.135940 0.905602
0.100988 0.802918 0.035601 0.792953
0.429034 0.199253 0.284660 0.695645
0.252509 0.800201 0.330652 0.743357
0.841303 0.023312 0.615469 0.596414
0.206850 0.488862 0.899573 0.806613
0.203601 0.740593 0.436900 0.526727
0.686207 0.741181 0.711529 0.559220
0.875955 0.028634 0.653880 0.877016
0.490055 0.096280 0.689974 0.760385
0.930360 0.921927 0.598071 0.709536
0.122406 0.741862 0.240417 0.558721
0.871618 0.470949 0.540471 0.936248
0.810374 0.394898 0.291109 0.780341
0.306225 0.088728 0.970767 0.515525
0.422139 0.224826 0.510199 0.830512
0.502754 0.155567 0.984867 0.830809
0.160243 0.082649 0.260513 0.667465
0.100582 0.521002 0.061099 0.878865
0.008255 0.852395 0.713466 0.783790
0.213151 0.159676 0.841069 0.892768
0.956290 0.609733 0.973671 0.960050
0.361090 0.229085 0.557987 0.633844
0.199379 0.758684 0.520774 0.629624
0.684209 0.397157 0.474161 0.740166
0.506422 0.961607 0.977545 0.858815
0.981411 0.321393 0.458146 0.663188
0.448521 0.327883 0.947887 0.895852
0.174173 0.105994 0.098493 0.615604
0.606548 0.128179 0.924286 0.755616
0.802629 0.940893 0.990949 0.561995
0.403847 0.424646 0.645220 0.686807
0.024111 0.605898 0.348223 0.955704
0.028312 0.183908 0.979836 0.980148
0.829759 0.415214 0.373941 0.610470
0.897821 0.294263 0.883910 0.719716
0.478790 0.374477 0.544469 0.534287
0.688271 0.817235 0.216641 0.636105
0.058418 0.904132 0.041993 0.593001
0.397619 0.813346 0.174110 0.611722
0.105215 0.465403 0.370914 0.634401
0.051973 0.221926 0.798760 0.721007
0.364637 0.590309 0.829419 0.796369
0.328130 0.120777 0.752582 0.726866
0.536488 0.229989 0.457064 0.801865
0.496891 0.099840 0.482710 0.889063
0.727295 0.298063 0.320345 0.906934
0.654473 0.807654 0.354355 0.585105
0.164609 0.555566 0.639201 0.579836
0.767302 0.084709 0.649169 0.647125
0.222988 0.777934 0.925714 0.805817
0.874113 0.403051 0.354132 0.544186
0.417111 0.876962 0.570454 0.597448
0.496974 0.351592 0.658453 0.828316
0.731264 0.629694 0.725783 0.650872
0.650186 0.554569 0.289598 0.671237
0.157677 0.747201 0.504012 0.845794
0.609010 0.353975 0.018695 0.629238
0.361880 0.954021 0.593135 0.513405
0.495842 0.200168 0.572122 0.827025
0.241214 0.943792 0.103740 0.537345
0.756574 0.660390 0.422816 0.848565
0.177900 0.365874 0.598064 0.919358
0.033495 0.117414 0.977345 0.899886
0.711552 0.849885 0.306054 0.799822
0.770253 0.659298 0.260541 0.922097
0.382001 0.925836 0.330865 0.710519
0.947179 0.520205 0.138626 0.853742
0.171572 0.225965 0.589493 0.689013
0.328449 0.511640 0.459544 0.635967
0.830741 0.888133 0.727566 0.772425
0.205246 0.857376 0.431685 0.932660
0.552176 0.469486 0.962530 0.974624
0.078970 0.122380 0.973129 0.571591
0.229090 0.911488 0.024484 0.592123
0.695753 0.627688 0.397857 0.691805
0.232416 0.065427 0.805769 0.522779
0.767434 0.065023 0.202111 0.871856
0.768308 0.574380 0.783429 0.776121
0.268496 0.832856 0.248164 0.815985
0.796337 0.213475 0.300747 0.855053
0.619039 0.254787 0.966916 0.667238
0.701895 0.761907 0.380705 0.748799
0.785286 0.519211 0.972585 0.804870
0.002864 0.731469 0.550675 0.929719
0.346140 0.519478 0.426729 0.653453
0.287483 0.026419 0.993980 0.824419
0.865224 0.348015 0.236676 0.916163
0.602244 0.766361 0.608414 0.635763
0.556194 0.421548 0.609434 0.776620
0.744540 0.216248 0.823307 0.603581
0.606634 0.157308 0.654581 0.902429
0.702526 0.081668 0.312400 0.908626
0.957452 0.765482 0.170687 0.993587
0.602833 0.131800 0.811078 0.543936
0.370185 0.571068 0.546726 0.795601
0.741735 0.324641 0.655047 0.888897
0.087626 0.102688 0.241292 0.519437
0.615905 0.759555 0.680287 0.973934
0.933392 0.205243 0.957415 0.550273
0.842912 0.839667 0.971999 0.644750
0.967084 0.498514 0.584328 0.737348
0.159679 0.554058 0.257369 0.985838
0.531506 0.059424 0.756074 0.645453
0.648692 0.811476 0.275131 0.508287
0.787094 0.195700 0.435138 0.692025
0.400954 0.665826 0.281897 0.510067
0.939279 0.085496 0.012956 0.586168
0.637799 0.829902 0.386622 0.820662
0.268466 0.033306 0.778338 0.688866
0.036845 0.168730 0.122779 0.900911
0.617161 0.091165 0.136754 0.727506
0.167285 0.148840 0.617717 0.932942
0.928726 0.741085 0.145266 0.599217
0.028523 0.604688 0.860235 0.559542
0.556912 0.466372 0.754594 0.994816
0.753853 0.165380 0.696127 0.552334
0.735055 0.545094 0.718704 0.552319
0.660774 0.336789 0.910173 0.836811
0.681109 0.532962 0.307865 0.536337
0.026674 0.752597 0.910018 0.784734
0.181618 0.909413 0.057322 0.565538
0.208400 0.247077 0.888569 0.882056
0.543398 0.849681 0.849046 0.579229
0.422248 0.985438 0.681843 0.902284
0.022678 0.975456 0.993029 0.600447
0.486316 0.939485 0.397076 0.672218
0.880976 0.885119 0.770078 0.643167
0.744840 0.936893 0.778196 0.621733
0.951812 0.966608 0.766176 0.972438
0.058486 0.915606 0.408627 0.954440
0.826687 0.289829 0.961647 0.573725
0.405498 0.072469 0.097629 0.863167
0.525049 0.587364 0.484853 0.975711
0.564475 0.473245 0.148705 0.836069
0.156193 0.159343 0.438355 0.733135
0.078704 0.541901 0.423976 0.650229
0.760261 0.574388 0.563178 0.585134
0.230297 0.938046 0.528014 0.697156
0.404118 0.287233 0.837694 0.619092
0.239130 0.649097 0.374176 0.879503
0.945644 0.553936 0.256416 0.713369
0.145302 0.463205 0.900697 0.859000
0.310146 0.672282 0.072360 0.857649
0.705546 0.658980 0.274990 0.953286
0.552160 0.250358 0.813924 0.543545
0.174243 0.494972 0.806153 0.658512
0.003539 0.806436 0.563073 0.916583
0.494269 0.322380 0.433820 0.569271
0.054869 0.740244 0.284669 0.766929
0.851624 0.211557 0.185555 0.602075
0.319219 0.947575 0.512110 0.520449
0.102442 0.310115 0.838107 0.800474
0.224847 0.164286 0.460042 0.790924
0.688543 0.625663 0.350493 0.602589
0.827471 0.738662 0.808413 0.769655
0.917798 0.662567 0.904108 0.817782
0.809137 0.333792 0.033046 0.798868
0.959806 0.048519 0.686830 0.626311
0.188659 0.894532 0.413137 0.687942
0.983353 0.593793 0.257237 0.739362
0.157979 0.270889 0.855241 0.567205
0.791456 0.736317 0.430151 0.610904
0.804400 0.296926 0.765540 0.939934
0.706056 0.760171 0.327029 0.726808
0.216254 0.467735 0.760608 0.553101
0.619428 0.941566 0.209162 0.759468
0.483719 0.063733 0.785848 0.557264
0.741298 0.008910 0.562115 0.708789
0.042573 0.723788 0.352219 0.744058
0.235843 0.521870 0.288858 0.604380
0.196343 0.576780 0.206303 0.854349
0.934490 0.727976 0.629195 0.548570
0.477262 0.158644 0.316748 0.939557
0.185124 0.196450 0.099402 0.952790
0.043802 0.334737 0.822008 0.582846
0.538745 0.368415 0.695109 0.636221
0.343397 0.192263 0.288093 0.909763
0.801408 0.357954 0.761305 0.747141
0.254062 0.492631 0.224398 0.609246
0.944152 0.582873 0.809393 0.657982
0.960724 0.712189 0.377999 0.815165
0.770146 0.474993 0.514605 0.535263
0.634701 0.754377 0.008447 0.692384
0.599776 0.374310 0.755295 0.642469
0.040220 0.574344 0.972698 0.527206
0.163157 0.516110 0.132019 0.924523
0.011836 0.511537 0.825292 0.971519
0.838051 0.367130 0.678308 0.932236
0.302877 0.665546 0.852912 0.968885
0.082698 0.567318 0.206590 0.534458
0.679357 0.734865 0.419168 0.830758
0.471663 0.222864 0.403533 0.515199
0.727311 0.877759 0.901210 0.634491
0.963222 0.361917 0.289348 0.818169
0.533604 0.587140 0.641980 0.684818
0.635114 0.897209 0.481525 0.591098
0.318278 0.509538 0.680149 0.595989
0.781023 0.904006 0.376459 0.809246
0.203993 0.466552 0.579893 0.563746
0.807202 0.982523 0.756780 0.911308
0.972068 0.138111 0.031745 0.574736
0.500581 0.423657 0.108750 0.806449
0.959952 0.420637 0.288968 0.607315
0.595417 0.158401 0.499353 0.739613
0.655894 0.429760 0.598014 0.559817
0.511417 0.699517 0.180198 0.709624
0.420925 0.766384 0.389718 0.798051
0.897018 0.396592 0.774551 0.705193
0.189897 0.703997 0.031509 0.596303
0.846561 0.762557 0.583602 0.550709
0.383895 0.726423 0.255169 0.605274
0.267454 0.446579 0.238137 0.632436
0.420712 0.313316 0.267860 0.504762
0.151975 0.150573 0.599361 0.858608
0.617364 0.507331 0.867666 0.662182
0.254602 0.287778 0.469088 0.514096
0.181834 0.610630 0.545223 0.773087
0.019598 0.676413 0.267346 0.754001
0.399161 0.046871 0.057860 0.620833
0.744414 0.567353 0.723106 0.696847
0.971092 0.533798 0.909736 0.752243
0.905353 0.455295 0.464721 0.674847
0.073434 0.831170 0.372441 0.942886
0.687102 0.817729 0.568756 0.587455
0.414893 0.478563 0.346319 0.520861
0.929020 0.787373 0.008139 0.884495
0.967956 0.299719 0.888685 0.503117
0.759253 0.706759 0.013477 0.830638
0.829076 0.647217 0.700062 0.776560
0.223343 0.083776 0.522647 0.563029
0.316870 0.663174 0.424445 0.857848
0.897489 0.899577 0.274632 0.690386
0.369758 0.025384 0.610154 0.563366
0.826029 0.293296 0.486938 0.713032
0.887191 0.847928 0.350986 0.826182
0.032130 0.665068 0.211463 0.970648
0.244462 0.009339 0.019705 0.634705
0.697840 0.201789 0.216541 0.544360
0.841609 0.847597 0.946802 0.542936
0.211831 0.654694 0.694259 0.879553
0.948487 0.607569 0.453674 0.954117
0.728404 0.955043 0.326252 0.684750
0.252117 0.617978 0.848912 0.901563
0.344042 0.608870 0.588002 0.845897
0.345060 0.268007 0.345667 0.537948
0.993119 0.876843 0.245715 0.533278
0.748860 0.702365 0.095777 0.527890
0.574210 0.589318 0.221723 0.689738
0.325887 0.961699 0.849534 0.721662
0.502863 0.696928 0.868314 0.869226
0.158477 0.760168 0.467167 0.534809
0.636958 0.049437 0.815950 0.592049
0.430320 0.346823 0.526484 0.870143
0.878567 0.281022 0.053621 0.887763
0.567553 0.901346 0.429923 0.828629
0.311218 0.089102 0.275880 0.553549
0.442302 0.838962 0.512098 0.639122
0.850124 0.510012 0.285170 0.683382
0.339014 0.946767 0.526991 0.704422
0.187725 0.043166 0.375810 0.920586
0.859094 0.326336 0.964446 0.636923
0.713364 0.790524 0.124849 0.748213
0.657651 0.094547 0.876035 0.947009
0.566760 0.725355 0.753017 0.985034
0.189832 0.043398 0.333964 0.893861
0.689908 0.741664 0.918914 0.627101
0.885586 0.324721 0.040713 0.908255
0.300996 0.187029 0.453585 0.806840
0.185587 0.156012 0.028754 0.850901
0.677051 0.538189 0.188193 0.883950
0.405118 0.626591 0.496402 0.818962
0.047072 0.995989 0.967164 0.741188
0.206798 0.677921 0.280235 0.979158
0.377015 0.034043 0.620752 0.704602
0.331810 0.303937 0.198934 0.785289
0.037483 0.867677 0.192205 0.547999
0.387247 0.115366 0.064954 0.787732
0.987405 0.696569 0.053174 0.790587
0.536022 0.813197 0.561267 0.794782
0.473583 0.860350 0.440055 0.769705
0.366562 0.780305 0.517038 0.648415
0.818588 0.810967 0.947024 0.756164
0.784728 0.004135 0.304766 0.544933
0.961540 0.481465 0.378182 0.575210
0.802999 0.947771 0.556984 0.920604
0.401125 0.385874 0.747206 0.890215
0.184124 0.981912 0.401176 0.574990
0.420772 0.038746 0.651655 0.987364
0.299498 0.661057 0.581772 0.503373
0.535402 0.077724 0.848398 0.821156
0.767129 0.701397 0.851773 0.730962
0.612121 0.078026 0.392186 0.569197
0.400601 0.243527 0.502257 0.939312
0.039734 0.318267 0.085504 0.856716
0.626744 0.401068 0.270939 0.958511
0.962592 0.611560 0.822867 0.505220
0.820540 0.955645 0.694751 0.550769
0.175936 0.944746 0.692130 0.791802
0.219365 0.751991 0.773605 0.538331
0.333448 0.825859 0.163805 0.804454
0.313223 0.138838 0.187858 0.812715
0.728190 0.099382 0.385979 0.773019
0.992612 0.765115 0.673010 0.936926
0.374905 0.772185 0.254622 0.548589
0.378494 0.138402 0.947759 0.554362
0.426976 0.061223 0.693792 0.571937
0.529440 0.886531 0.076660 0.761813
0.292937 0.738686 0.471364 0.609287
0.570254 0.037685 0.502803 0.759292
0.804999 0.732795 0.458650 0.928644
0.039214 0.504600 0.934392 0.612198
0.927664 0.572511 0.217923 0.515493
0.665857 0.220606 0.034132 0.851418
0.256962 0.529129 0.958920 0.706964
0.696346 0.758288 0.525833 0.601902
0.483872 0.510527 0.122626 0.738857
0.191126 0.669940 0.255976 0.884992
0.096311 0.291554 0.735373 0.829221
0.370882 0.386149 0.970818 0.899967
0.290590 0.311733 0.791030 0.986011
0.067887 0.134009 0.588273 0.524012
0.644588 0.483063 0.597044 0.835435
0.781660 0.596105 0.055046 0.905854
0.186574 0.143662 0.410949 0.621280
0.644633 0.150770 0.708949 0.715867
0.372756 0.590487 0.262728 0.800183
0.626412 0.383370 0.052874 0.785803
0.868572 0.737143 0.157411 0.837299
0.160953 0.947018 0.226481 0.810384
0.580112 0.523653 0.607023 0.849567
0.543200 0.940487 0.480830 0.574381
0.465498 0.409993 0.453934 0.978860
0.780108 0.832146 0.203063 0.968656
0.972663 0.921241 0.586850 0.956187
0.165081 0.568948 0.846378 0.975538
0.644098 0.328055 0.513890 0.892607
0.105428 0.601819 0.532567 0.825890
0.387772 0.525404 0.410831 0.851934
0.518684 0.880009 0.612995 0.775182
0.905403 0.978404 0.048234 0.842150
0.449997 0.842739 0.097636 0.613293
0.526818 0.265503 0.069837 0.912775
0.267522 0.091637 0.310238 0.975938
0.242337 0.182015 0.911733 0.926892
0.014371 0.820734 0.031884 0.753294
0.068517 0.274426 0.775309 0.694671
0.925039 0.917169 0.483277 0.800486
0.204538 0.015277 0.736418 0.583425
0.490258 0.989865 0.000691 0.778159
0.037123 0.664424 0.612727 0.529695
0.899875 0.104640 0.737267 0.529956
0.804781 0.507678 0.024292 0.767571
0.094101 0.370248 0.464247 0.637248
0.200509 0.073955 0.829994 0.915480
0.583534 0.647731 0.008820 0.964861
0.366208 0.207627 0.483520 0.649042
0.731326 0.069637 0.900931 0.580048
0.840289 0.509681 0.865839 0.969073
0.972643 0.742083 0.149058 0.809066
0.529869 0.443598 0.313254 0.691679
0.956944 0.014012 0.486046 0.902240
0.324412 0.940176 0.442025 0.869208
0.412602 0.865645 0.748737 0.961370
0.015463 0.500059 0.093972 0.670132
0.654473 0.574901 0.598229 0.998162
0.441462 0.435273 0.398900 0.829842
0.182325 0.841941 0.311503 0.802546
0.250644 0.892493 0.668678 0.761492
0.209305 0.174032 0.595705 0.772486
0.095423 0.379584 0.756664 0.757200
0.221469 0.423181 0.472742 0.712436
0.019691 0.517586 0.383308 0.975383
0.144732 0.139314 0.343059 0.626281
0.663464 0.452481 0.126395 0.845784
